registration_id,category,local_result,live_result,parameters,reason,live_evidence
CorrelationThreshold,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a"",""num_b"",""num_c""],""threshold"":0.95}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
feature_selection,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""method"":""variance"",""threshold"":0.0}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
ModelBasedSelection,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a"",""num_b""],""target_column"":""target"",""estimator"":""RandomForest""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
UnivariateSelection,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a"",""num_b""],""target_column"":""target"",""score_func"":""f_classif"",""k"":1}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
VarianceThreshold,inference_eligible,pass,pass,"[{""case"":""R3"",""params"":{""columns"":[""x"",""z""],""threshold"":0.0}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
GeoDistance,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""lat1_col"":""lat1"",""lon1_col"":""lon1"",""lat2_col"":""lat2"",""lon2_col"":""lon2""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
H3Index,optional_dependency,not_run,not_run,,Requires an optional runtime dependency and an isolated replay probe.,
IterativeImputer,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""with_missing"",""num_a""]}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
KNNImputer,inference_eligible,pass,pass,"[{""case"":""R3"",""params"":{""columns"":[""x"",""z""],""n_neighbors"":3}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
SimpleImputer,inference_eligible,pass,pass,"[{""case"":""R1"",""params"":{""columns"":[""z""],""strategy"":""mean""}},{""case"":""R2"",""params"":{""columns"":[""z""],""strategy"":""median""}},{""case"":""C1"",""params"":{""columns"":[""z""],""strategy"":""mean""}},{""case"":""C2"",""params"":{""columns"":[""z""],""strategy"":""mean""}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
DataSnapshot,inspection,targeted_tests_pass,not_applicable,,Existing inspection tests passed in the focused 317-test suite; no scoring feature transform is claimed.,
DatasetProfile,inspection,targeted_tests_pass,not_applicable,,Existing inspection tests passed in the focused 317-test suite; no scoring feature transform is claimed.,
EllipticEnvelope,conditional_inference,guard_pass,guard_pass,"[{""case"":""filtered_batch_guard_pandas_polars"",""params"":{""columns"":[""x""],""random_state"":42}}]","Fitted transform removes an extreme row; predict rejects the shortened batch on both engines. A batch with no filtered rows can score, but one prediction per input is not guaranteed for arbitrary inputs.",973375074755539
IQR,conditional_inference,guard_pass,guard_pass,"[{""case"":""filtered_batch_guard_pandas_polars"",""params"":{""columns"":[""x""]}}]","Fitted transform removes an extreme row; predict rejects the shortened batch on both engines. A batch with no filtered rows can score, but one prediction per input is not guaranteed for arbitrary inputs.",973375074755539
ManualBounds,conditional_inference,guard_pass,guard_pass,"[{""case"":""filtered_batch_guard_pandas_polars"",""params"":{""columns"":[""x""],""bounds"":{""x"":{""lower"":0,""upper"":99}}}}]","Fitted transform removes an extreme row; predict rejects the shortened batch on both engines. A batch with no filtered rows can score, but one prediction per input is not guaranteed for arbitrary inputs.",973375074755539
Winsorize,inference_eligible,pass,pass,"[{""case"":""R2"",""params"":{""columns"":[""x""]}},{""case"":""mlflow_cross_job_pandas_polars"",""params"":{""columns"":[""x""],""model"":""linear_regression"",""rows_per_month"":20}}]","Saved full pipelines passed pandas and Polars; concrete MLflow/UC model versions replayed 20 keyed rows in each of two months, including an extreme input. Winsorize clipped that input.","973375074755539,629958980658605"
ZScore,conditional_inference,guard_pass,guard_pass,"[{""case"":""filtered_batch_guard_pandas_polars"",""params"":{""columns"":[""x""]}}]","Fitted transform removes an extreme row; predict rejects the shortened batch on both engines. A batch with no filtered rows can score, but one prediction per input is not guaranteed for arbitrary inputs.",973375074755539
Oversampling,train_only,targeted_tests_pass,not_applicable,,Existing train/split/row-effect integration tests passed (317 focused tests); node is not advertised for local batch inference.,
Undersampling,train_only,targeted_tests_pass,not_applicable,,Existing train/split/row-effect integration tests passed (317 focused tests); node is not advertised for local batch inference.,
MaxAbsScaler,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a"",""num_b"",""num_c""]}},{""case"":""mlflow_cross_job_pandas_polars"",""params"":{""columns"":[""x""],""model"":""linear_regression"",""rows_per_month"":20}}]","Saved full pipelines passed pandas and Polars; concrete MLflow/UC model versions replayed 20 keyed rows in each of two months, including an extreme input.","973375074755539,629958980658605"
MinMaxScaler,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a"",""num_b"",""num_c""]}},{""case"":""mlflow_cross_job_pandas_polars"",""params"":{""columns"":[""x""],""model"":""linear_regression"",""rows_per_month"":20}}]","Saved full pipelines passed pandas and Polars; concrete MLflow/UC model versions replayed 20 keyed rows in each of two months, including an extreme input.","973375074755539,629958980658605"
RobustScaler,inference_eligible,pass,pass,"[{""case"":""C1"",""params"":{""columns"":[""x"",""z""]}},{""case"":""mlflow_cross_job_pandas_polars"",""params"":{""columns"":[""x""],""model"":""linear_regression"",""rows_per_month"":20}}]","Saved full pipelines passed pandas and Polars; concrete MLflow/UC model versions replayed 20 keyed rows in each of two months, including an extreme input.","973375074755539,629958980658605"
StandardScaler,inference_eligible,pass,pass,"[{""case"":""R1"",""params"":{""columns"":[""x"",""z""]}},{""case"":""C2"",""params"":{""columns"":[""x"",""z""]}},{""case"":""mlflow_cross_job_pandas_polars"",""params"":{""columns"":[""x""],""model"":""linear_regression"",""rows_per_month"":20}}]","Saved full pipelines passed pandas and Polars; concrete MLflow/UC model versions replayed 20 keyed rows in each of two months, including an extreme input.","973375074755539,629958980658605"
Split,train_only,targeted_tests_pass,not_applicable,,Existing train/split/row-effect integration tests passed (317 focused tests); node is not advertised for local batch inference.,
TrainTestSplitter,train_only,targeted_tests_pass,not_applicable,,Existing train/split/row-effect integration tests passed (317 focused tests); node is not advertised for local batch inference.,
feature_target_split,train_only,targeted_tests_pass,not_applicable,,Existing train/split/row-effect integration tests passed (317 focused tests); node is not advertised for local batch inference.,
DateFeatures,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""date_col""],""drop_original"":true}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
LagFeatures,unsupported,not_run,not_run,,Whole-frame model-input or temporal-context compatibility is unproven.,
RollingAggregate,unsupported,not_run,not_run,,Whole-frame model-input or temporal-context compatibility is unproven.,
GeneralTransformation,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_c""],""transformation"":""log""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
PowerTransformer,inference_eligible,pass,pass,"[{""case"":""R3"",""params"":{""columns"":[""x"",""z""]}}]",Full-pipeline fit/save/load/predict passed in five-model local test.,217135029658639
SimpleTransformation,inference_eligible,pass,pass,"[{""case"":""node_audit_pandas_polars"",""params"":{""columns"":[""num_a""],""transformation"":""abs""}}]",Full-pipeline fit/save/load/predict passed on pandas and Polars with a bounded fixture; live serverless audit passed.,262581913302220
count_vectorizer,unsupported,not_run,not_run,,Whole-frame model-input or temporal-context compatibility is unproven.,
hashing_vectorizer,unsupported,not_run,not_run,,Whole-frame model-input or temporal-context compatibility is unproven.,
sentence_embedder,optional_dependency,not_run,not_run,,Requires an optional runtime dependency and an isolated replay probe.,
tfidf_vectorizer,unsupported,not_run,not_run,,Whole-frame model-input or temporal-context compatibility is unproven.,
tokenizer,unsupported,not_run,not_run,,Whole-frame model-input or temporal-context compatibility is unproven.,
